what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1355819399372
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1355819399372
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1355819399373
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1355819399373
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1355819399373
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1355819399373
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1355819399374
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1355819399374
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1355819399374
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1355819399374
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1355819399374
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1355819399374
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1355819399374
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1355819399374
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1355819399375
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1355819399375
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1355819399419
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1355819399419
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1355819399419
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1355819399419
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1355819399419
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1355819399419
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1355819399420
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1355819399421
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1355819399778
os,sysinfo,,,"macosx",1355819399784
arch,sysinfo,,,"x86_64",1355819399784
ws,sysinfo,,,"cocoa",1355819399784
locale,sysinfo,,,"en_US",1355819399784
processors,sysinfo,,,"8",1355819399784
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1355819399784
java.runtime.version,sysinfo,,,"1.6.0_37-b06-434-11M3909",1355819399784
java.specification.name,sysinfo,,,"Java Platform API Specification",1355819399784
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1355819399784
java.specification.version,sysinfo,,,"1.6",1355819399784
java.vendor,sysinfo,,,"Apple Inc.",1355819399784
java.version,sysinfo,,,"1.6.0_37",1355819399784
java.vm.info,sysinfo,,,"mixed mode",1355819399784
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1355819399784
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1355819399784
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1355819399784
java.vm.specification.version,sysinfo,,,"1.0",1355819399784
java.vm.vendor,sysinfo,,,"Apple Inc.",1355819399784
java.vm.version,sysinfo,,,"20.12-b01-434",1355819399784
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1355819399861
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1355819401084
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1355819402316
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1355819403892
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1355819405154
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1355819405316
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1355819405385
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1355819405458
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1355819407932
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355819420849
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1355819420871
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355819423290
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355820595755
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355820598542
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355821086998
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355821090906
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355821099997
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355821335223
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1355822161417
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355822161475
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1355822163416
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1355822193848
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1355822353677
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355822366657
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355822366827
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1355822396433
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355822403723
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355827701994
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1355827707544
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1355827707636
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1355827709093
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1355827709950
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1355827710034
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1355827711317
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1355827711393
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1355827715554
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1355827715555
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.close",1355827715591
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355827721513
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355827725017
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1355827725327
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1355827725886
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1355827726876
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1355827726877
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1355827726878
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1355827726878
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1355827726878
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1355827726878
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1355827726878
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1355827726878
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1355827726878
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1355827726878
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1355827726879
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1355827726879
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1355827726879
